"","State Name","county Name","State Code","County Code","Date","AQI","Category","Defining Parameter","Defining Site","Number of Sites Reporting"
"116","Texas","Bell","48","027",2016-04-26,37,"Good","Ozone","48-027-1047",2
"117","Texas","Bell","48","027",2016-04-27,51,"Moderate","Ozone","48-027-1047",2
"118","Texas","Bell","48","027",2016-04-28,97,"Moderate","Ozone","48-027-1047",2
"119","Texas","Bell","48","027",2016-04-29,37,"Good","Ozone","48-027-1047",2
"120","Texas","Bell","48","027",2016-04-30,43,"Good","Ozone","48-027-1047",2
"121","Texas","Bell","48","027",2016-05-01,42,"Good","Ozone","48-027-1047",2
"122","Texas","Bell","48","027",2016-05-02,29,"Good","Ozone","48-027-1045",2
"123","Texas","Bell","48","027",2016-05-03,47,"Good","Ozone","48-027-1045",2
"124","Texas","Bell","48","027",2016-05-04,50,"Good","Ozone","48-027-1045",2
"125","Texas","Bell","48","027",2016-05-05,61,"Moderate","Ozone","48-027-1045",2
"126","Texas","Bell","48","027",2016-05-06,54,"Moderate","Ozone","48-027-1045",2
"127","Texas","Bell","48","027",2016-05-07,58,"Moderate","Ozone","48-027-1047",2
"128","Texas","Bell","48","027",2016-05-08,39,"Good","Ozone","48-027-1047",2
"129","Texas","Bell","48","027",2016-05-09,47,"Good","Ozone","48-027-1045",2
"130","Texas","Bell","48","027",2016-05-10,51,"Moderate","Ozone","48-027-1047",2
"131","Texas","Bell","48","027",2016-05-11,49,"Good","Ozone","48-027-1047",2
"132","Texas","Bell","48","027",2016-05-12,54,"Moderate","Ozone","48-027-1045",2
"133","Texas","Bell","48","027",2016-05-13,58,"Moderate","Ozone","48-027-1045",2
"134","Texas","Bell","48","027",2016-05-14,46,"Good","Ozone","48-027-1047",2
"135","Texas","Bell","48","027",2016-05-15,40,"Good","Ozone","48-027-1045",2
"136","Texas","Bell","48","027",2016-05-16,45,"Good","Ozone","48-027-1045",2
"137","Texas","Bell","48","027",2016-05-17,41,"Good","Ozone","48-027-1045",2
"138","Texas","Bell","48","027",2016-05-18,30,"Good","Ozone","48-027-1045",2
"139","Texas","Bell","48","027",2016-05-19,31,"Good","Ozone","48-027-1047",2
"140","Texas","Bell","48","027",2016-05-20,43,"Good","Ozone","48-027-1045",2
"141","Texas","Bell","48","027",2016-05-21,45,"Good","Ozone","48-027-1045",2
"142","Texas","Bell","48","027",2016-05-22,36,"Good","Ozone","48-027-1047",2
"143","Texas","Bell","48","027",2016-05-23,32,"Good","Ozone","48-027-1047",2
"144","Texas","Bell","48","027",2016-05-24,25,"Good","Ozone","48-027-1047",2
"145","Texas","Bell","48","027",2016-05-25,28,"Good","Ozone","48-027-1047",2
